fecha_factura,ingreso_al_sistema,doc,documento,proveedor,documento_1,valor_base,valor_iva,valor_total,plazo,fecha_vencimiento,mes,ano,dias_cartera,rte_fuente,rte_ica,descuentos,rte_fuente_1,rte_ica_1,total_abonos,saldo_a_pagar,unnamed_21,unnamed_22,unnamed_23,unnamed_24,total_abonado,n_abonos,ultimo_abono,saldo_pendiente,dias_por_pagar,dias_vencido,tramo_aging
2025-12-12,2025-12-17,F,FECR371,Comercializadora Tiernitos,0,724538.0,137662.0,862200.0,30.0,2026-01-11,1.0,2026.0,0.0,SI,SI,,18113.45,5578.9426,838508.0,-0.3926,,,,,838508.0,1.0,2026-01-13,23692.0,-191,191,vencida_>90
2025-12-19,2025-12-23,F,FV10032660,Bivien,0,19863735.0,3774109.0,23637844.0,45.0,2026-02-02,2.0,2026.0,0.0,NO,NO,,0.0,0.0,23637843.82,-0.0200000003,,,,,23637843.82,2.0,2026-02-03,0.18,-169,169,vencida_>90
2025-12-20,2025-12-23,F,DRY539671,Softys,0,41593094.0,7902588.0,49495682.0,60.0,2026-02-18,2.0,2026.0,0.0,SI,NO,1247793.0,1039827.35,0.0,47208161.0,-99.35,,,,,47208161.0,2.0,2026-02-19,2287521.0,-153,153,vencida_>90
2025-12-24,2025-12-27,F,FECR179595,Distribuidora Extra SAS,0,1524221.0,289602.0,1813823.0,30.0,2026-01-23,1.0,2026.0,0.0,SI,NO,,38105.525,0.0,1775717.0,-0.025,,,,,1775717.0,1.0,2025-12-24,38106.0,-179,179,vencida_>90
2025-12-27,2025-01-27,F,DRY540470,Softys,0,4208150.0,799549.0,5007699.0,60.0,2026-02-25,2.0,2026.0,0.0,SI,NO,126244.5,105203.75,0.0,4776251.0,-0.25,,,,,4776251.0,2.0,2026-02-26,231448.0,-146,146,vencida_>90
2025-12-27,2025-12-27,F,DRY540471,Softys,0,1187802.0,225682.0,1413484.0,60.0,2026-02-25,2.0,2026.0,0.0,SI,NO,35634.06,29695.05,0.0,1348155.0,-0.11,,,,,1348155.0,2.0,2026-02-26,65329.0,-146,146,vencida_>90
2026-01-13,2026-01-14,F,FE2595,Grupo Family & Home,0,2258823.0,429176.0,2687999.0,60.0,2026-03-14,3.0,2026.0,0.0,SI,SI,,56470.575,17392.9371,2614135.0,-0.0121,,,,,2614135.0,1.0,2026-03-11,73864.0,-129,129,vencida_>90
2026-01-09,2026-01-14,F,FE2594,Grupo Family & Home,0,11692940.0,2221658.0,13914598.0,60.0,2026-03-10,3.0,2026.0,0.0,SI,SI,,292323.5,90035.638,13532239.0,-0.138,,,,,13532239.0,1.0,2026-03-11,382359.0,-133,133,vencida_>90
2026-01-09,2026-01-14,R,3924,Grupo Family & Home,0,13914600.0,0.0,13914600.0,60.0,2026-03-10,3.0,2026.0,0.0,SI,SI,,0.0,0.0,13914600.0,0.0,,,,,13914600.0,1.0,2026-03-24,0.0,-133,133,pagada
2026-01-14,2026-01-16,F,PK15318,Praktiplas,0,28152320.0,5348940.0,33501260.0,10.0,2026-01-24,1.0,2026.0,0.0,SI,NO,,703808.0,0.0,32797452.0,0.0,,,,,32797452.0,1.0,2026-01-27,703808.0,-178,178,vencida_>90
2026-01-14,2026-01-16,F,BF662902,Tecnoquimicas,0,59592564.0,11012634.0,70605198.0,35.0,2026-02-18,2.0,2026.0,0.0,NO,NO,1631328.0,0.0,0.0,68973870.0,0.0,,,,,68973870.0,2.0,2026-02-14,1631328.0,-153,153,vencida_>90
2026-01-15,2026-01-16,F,FE8267,Infantiles ABBA,0,7277104.0,1382649.0,8659753.0,30.0,2026-02-14,2.0,2026.0,0.0,SI,NO,363855.2,181927.6,0.0,8113970.0,-0.1,,,,,8113970.0,1.0,2026-02-05,545783.0,-157,157,vencida_>90
