cod_interno,descripcion,categoria,marca_proveedor,venta_total,venta_bruta,costo_total,cantidad_vendida,margen_bruto,margen_bruto_pct,precio_venta_promedio,costo_promedio,acum_pct,clasificacion_abc
15057,COMEDERO MASCOTA 0230-1,OTROS,MASCOTA,81482.73000000001,84000,66645.25,14,14837.0,0.1821,5820.0,4760.0,0.9987351190562438,C
15101,ARENERO PREMIUM ARMATY,OTROS,MASCOTA,188053.8,193800,153856.21000000002,6,34198.0,0.1819,31342.0,25643.0,0.9969646355210854,C
11467,ENTRETENEDOR MAGEMIOR LOT - 9,OTROS,CHINA,50874.020000000004,53080,41619.85,20,9254.0,0.1819,2544.0,2081.0,0.9992350743638546,C
14917,KIT DE ASEO BABY CARE 10 PCS AM8805,OTROS,CHINA,4357433.62,4537450,3566592.96,388,790841.0,0.1815,11230.0,9192.0,0.86996911444176,B
14543,ENTRETENEDOR CADENA BOOGY 33265,OTROS,PANAMA,1773830.26,1816600,1452322.11,266,321508.0,0.1813,6669.0,5460.0,0.9500340022785755,C
14963,BOLSA REGALO BABY SHOWER VB8148,ESTUCHES Y KITS REGALO,CHINA,2260211.65,2353200,1850446.49,972,409765.0,0.1813,2325.0,1904.0,0.9312258569119998,B
14848,ESCOBILLON BOOGY 006,OTROS,PANAMA,4605851.93,4752160,3771290.59,130,834561.0,0.1812,35430.0,29010.0,0.863464128917148,B
14513,ENTRETENEDOR SILICONA INFANTEC ND 5005,OTROS,PANAMA,1195635.37,1227048,979145.23,177,216490.0,0.1811,6755.0,5532.0,0.9697260468764072,C
14920,TETERO ONLY 12 OZ GFD 048,BIBERONES Y EXTRACTORES,CHINA,4855328.58,5045950,3977406.62,437,877922.0,0.1808,11111.0,9102.0,0.855229911534564,B
14914,KIT DE ASEO BABY CARE 20 PCS GFD113,OTROS,CHINA,7859354.86,8184850,6440065.1,260,1419290.0,0.1806,30228.0,24769.0,0.8010199129739679,B
8945,ARNES MOBY BABY 800,OTROS,CHINA,1131169.1099999999,1166182,926832.45,66,204337.0,0.1806,17139.0,14043.0,0.9717420121846354,C
3306,CARRO MONTABLE TRAIL PRAKTIPLAS,CAMINADORES Y MONTABLES,PRAKTIPLAS,58589780.2,60121771,48013800.8,1345,10575979.0,0.1805,43561.0,35698.0,0.5810340883829119,A
15005,VASO PITILLO PRAKTIPLAS,OTROS,HOGAR,330618.66000000003,340200,270936.15,162,59683.0,0.1805,2041.0,1672.0,0.9944647846605679,C
14952,PLASTICO CAMBIADOR GFD175,OTROS,CHINA,2275093.32,2367000,1864531.87,307,410561.0,0.1805,7411.0,6073.0,0.9308446316434045,B
14907,TETERO ONLY 11 OZ GFD 063,BIBERONES Y EXTRACTORES,CHINA,4203851.26,4359600,3445301.75,432,758550.0,0.1804,9731.0,7975.0,0.8733336332229079,B
15060,COMEDERO MASCOTA GRANDE 0223-1,OTROS,MASCOTA,58211.71,60000,47707.490000000005,10,10504.0,0.1804,5821.0,4771.0,0.9990892566126983,C
14806,LLAMADIENTE INFANTEC IMP 7233,OTROS,PANAMA,386706.42,400900,317040.10000000003,49,69666.0,0.1802,7892.0,6470.0,0.9930850998689167,C
11774,ALMIPRO CREMA EMOLIENTE CUERPO X 400,CREMAS Y CUIDADO PIEL,ALMIPRO,45502513.2,46837960,37307889.84,2070,8194623.0,0.1801,21982.0,18023.0,0.6249318096984959,A
