producto,stock_actual,costo_total_inventario,costo_unitario_inventario,categoria_producto
PELUCHE SONAJERO BABYFANS BL 2306 -350,101,1090598,10798.0,JUGUETES Y ACCESORIOS
TETERO 16 OZ BOOGY 21969,100,1281000,12810.0,BIBERONES Y EXTRACTORES
CHILLON FUNNY X 5 BL 2306 - 103,100,542500,5425.0,OTROS
CARGADOR KANG YING BL 2306-276,99,1998513,20187.0,OTROS
SONAJERO X 4 BABY STAR BL 2306 - 193,99,430947,4353.0,JUGUETES Y ACCESORIOS
TETERO 2 OZ INFAN TEC BIP 1216,99,405999,4101.0,BIBERONES Y EXTRACTORES
COMEDOR HC 200A-P N FUNNY CHAIR,98,19632144,200328.0,MOBILIARIO INFANTIL
CEPILLO PEINE BABY COLOR GBC 5187,98,609168,6216.0,OTROS
CARGADOR AIEBAO BL 2412+101,97,4738450,48850.0,COCHES Y PORTEO
MANTILLA KOLACO SZ 141,97,1467804,15132.0,OTROS
VASO 10 ONZ BOOGY 21399,97,1086788,11204.0,OTROS
TETERO 2 OZ BOOGY 21928,97,363265,3745.0,BIBERONES Y EXTRACTORES
GIMNASIO BOOGY 20016,96,3468960,36135.0,JUGUETES Y ACCESORIOS
CARGADOR BULLDOZER CAMPIONI,96,1793184,18679.0,CAMINADORES Y MONTABLES
TETERO CUCHARA SILICONA BOOGY 19678,96,1110432,11567.0,BIBERONES Y EXTRACTORES
VASO INFANTEC BIP 1017,96,1021152,10637.0,OTROS
ASPIRADOR BOOGY 21483,96,824928,8593.0,OTROS
MOVIL CUNA BABE BED BELL BL 2306-248,95,2042405,21499.0,MOBILIARIO INFANTIL
MOVIL CUNA BABE BED BELL BL 2306-251,95,1791130,18854.0,MOBILIARIO INFANTIL
PORTALECHE INFANTEC BIP 1464,95,815005,8579.0,ALIMENTOS Y BEBIDAS
GIMNASIO BOOGY 20017,94,3527538,37527.0,JUGUETES Y ACCESORIOS
ENTRETENEDOR INFANTEC BIP 1341,94,525554,5591.0,OTROS
LLAMADIENTE GUANTE SILICONA BL 2306 - 389,94,462480,4920.0,OTROS
PAÑALERA BL 2412+026,93,3727347,40079.0,PAÑALES
ENTRETENEDOR SILICONA INFANTEC ND 5005,93,497922,5354.0,OTROS
ENTRETENEDOR INFAN TEC BIP 1144,92,448592,4876.0,OTROS
LLAMADIENTE GUANTE SILICONA BL 2306 - 390,92,342792,3726.0,OTROS
JABONERA BOOGY 20886,92,232392,2526.0,HIGIENE PERSONAL
MOVIL BABE BED BELL BL 2306 - 249,91,1975337,21707.0,OTROS
VASO BOOGY 21402,91,973154,10694.0,OTROS
ESCOBILLON INFANTEC GB 0493,91,491764,5404.0,OTROS
ENTRETENEDOR X 2 SILICONA BOOGY 33236,91,409409,4499.0,OTROS
CARRO BOMBERO MUSICAL CAMPIONI,90,2054610,22829.0,OTROS
MOVIL CUNA BABE BED BELL BL 2306-252,90,1696860,18854.0,MOBILIARIO INFANTIL
DIDACTICO HELICOPTER BL 2306 - 178,89,1285605,14445.0,OTROS
CEPILLO RACER BIP 15,89,575118,6462.0,OTROS
ASPIRADOR NASAL BOOGY 20918,89,519315,5835.0,OTROS
TETERO CUCHARA ONLY BABY PP - 111,89,384569,4321.0,BIBERONES Y EXTRACTORES
PAÑALERA INFANTEC NT 1994,87,3666180,42140.0,PAÑALES
DIDACTICO BUS KEYBOORD BL 2306 - 234,86,1680526,19541.0,OTROS
BABITA AMOR BEBE X 24 REF 1777 - AC 03 - 801,86,1416248,16468.0,OTROS
PELUCHE SONAJERO BABYFANS BL 2306 - 352,86,615846,7161.0,JUGUETES Y ACCESORIOS
CALENTADOR LECHE PORTATIL BOOGY 33578,85,9462710,111326.0,ALIMENTOS Y BEBIDAS
MOVIL CUNA BABE BED BELL BL 2306-249,85,1827415,21499.0,MOBILIARIO INFANTIL
ENTRETENEDOR CON CINTA BIP 1313,85,788715,9279.0,OTROS
TETERO 2 OZ INFAN TEC BIP 1135,85,371535,4371.0,BIBERONES Y EXTRACTORES
ENTRETENEDOR INFANTEC BIP 1142,85,362950,4270.0,OTROS
SONAJERO X 3 BABY RATTLES BL 2306-190,85,230860,2716.0,JUGUETES Y ACCESORIOS
PELUCHE MUSICAL SOZZY WLTH 8103 S,84,1936872,23058.0,JUGUETES Y ACCESORIOS
DIDACTICO TREN TRAIN KEYBOARD BL 2306 - 225,84,1648584,19626.0,OTROS
SET ASPIRADOR NASAL ONLY BL 2306-15,84,367668,4377.0,OTROS
CEPILLO DEDO ESTUCHE ONLY BL 2306-19,84,133896,1594.0,ESTUCHES Y KITS REGALO
SET ASEO BABY COLOR ND 2231,83,469448,5656.0,OTROS
ENTRETENEDOR CADENA BOOGY 33259,82,378512,4616.0,OTROS
TETERO 2 OZ INFAN TEC GB 0524,82,279948,3414.0,BIBERONES Y EXTRACTORES
DIDACTICO ANIMAL MUSIC BL 2306 - 188,81,1018980,12580.0,OTROS
SONAJERO BABY STAR X 4 BL 2306 - 197,81,376569,4649.0,JUGUETES Y ACCESORIOS
PEZONERA ONLY BL 2306-14,81,202014,2494.0,BIBERONES Y EXTRACTORES
BUSO CARTER X 5 REF 66006,80,1625520,20319.0,OTROS
VASO 11 OZ BOOGY 21411,80,1035680,12946.0,OTROS
CEPILLO PEINE INFANTEC GB 7012,80,497280,6216.0,OTROS
CONJUNTO CARTERS X 3 SQ 108,79,1798988,22772.0,OTROS
DIDACTICO PIANO BEEPIANO MARIPOSA BL 2306 - 169,79,1097231,13889.0,OTROS
DIDACTICO ANIMAL MUSIC BL 2306 - 186,79,993820,12580.0,OTROS
CHILLON TINA X 5 FUNNY BL 2306 - 101,79,604587,7653.0,OTROS
CEPILLO SAFARY GBS 016,79,498806,6314.0,OTROS
PAÑALERA DUOHUI BL 2412+027,78,2989194,38323.0,PAÑALES
