cod_interno,descripcion,categoria_producto,ultima_venta,venta_total_hist,cantidad_ultimo_trimestre,stock_actual,costo_total_inventario,dias_sin_venta,clasificacion_rotacion,promedio_venta_mensual,meses_inventario
14204,BALETA PELUCHE TOLELE BL 2306 - 358,JUGUETES Y ACCESORIOS,2026-07-10,658723,8.0,224.0,1522528.0,8,ACTIVO,2.67,83.9
8822,TETERO SILICONA BOOGY CUCHARA 19222,BIBERONES Y EXTRACTORES,2026-07-17,2611919,53.0,176.0,1521520.0,1,ACTIVO,17.67,10.0
10865,MANTILLA YOYO BABY AH 02 - 513,OTROS,2026-07-17,4895634,20.0,56.0,1512672.0,1,ACTIVO,6.67,8.4
13867,VASO 10 OZ BOOGY 21387,OTROS,2026-07-16,1862425,7.0,154.0,1506890.0,2,ACTIVO,2.33,66.1
11456,SET DECORACION BABY SHOWER FF - 20,ESTUCHES Y KITS REGALO,2026-07-17,209724,30.0,744.0,1504368.0,1,ACTIVO,10.0,74.4
12383,VASO 11 OZ BOOGY 21412,OTROS,2026-07-06,1953645,6.0,116.0,1501736.0,12,ACTIVO,2.0,58.0
13619,ENTRETENEDOR NOOR NOS 30,OTROS,2026-07-17,780948,16.0,217.0,1494479.0,1,ACTIVO,5.33,40.7
13445,LLAMADIENTES BOOGY 21422,OTROS,2026-07-17,3432928,184.0,428.0,1492864.0,1,ACTIVO,61.33,7.0
14090,BABERO PLASTICO GRANDE BL 2306-365,ROPA Y TEXTIL,2026-07-17,1310164,34.0,905.0,1473340.0,1,ACTIVO,11.33,79.9
4909,ENTRETENEDOR SILICONA INFANTEC GB 0760,OTROS,2026-07-04,355100,11.0,282.0,1470066.0,14,ACTIVO,3.67,76.8
14637,ESCOBILLON TETEROS X 3 ONLY BABY 23+97,BIBERONES Y EXTRACTORES,2026-07-17,5130100,140.0,226.0,1456118.0,1,ACTIVO,46.67,4.8
14024,CEPILLO DEDO ONLY BL 2306-21,OTROS,2026-07-10,1349202,11.0,477.0,1426707.0,8,ACTIVO,3.67,130.0
460,COLONIA ARRURRU X 60 ROSADA,ESTUCHES Y KITS REGALO,2026-07-17,31075751,248.0,135.0,1424250.0,1,ACTIVO,82.67,1.6
14226,MALLA FRUTA LLAMADIENTE DR GYM BL 2306 - 66,OTROS,2026-07-17,1759935,33.0,273.0,1399671.0,1,ACTIVO,11.0,24.8
10666,ASPIARDOR NASAL BOOGY 20931,OTROS,2026-07-16,1492933,32.0,235.0,1378510.0,2,ACTIVO,10.67,22.0
8322,PANTALON TEDMIMAK 66009,ROPA Y TEXTIL,2026-06-18,9143252,6.0,44.0,1362724.0,30,ACTIVO,2.0,22.0
14062,SONAJERO X 3 BABY RATTLES BL 2306-192,JUGUETES Y ACCESORIOS,2026-07-18,1181203,94.0,508.0,1350772.0,0,ACTIVO,31.33,16.2
14636,PLATO OVNI ANTIDERRAME BL 2412+090,OTROS,2026-07-07,3608400,29.0,134.0,1346968.0,11,ACTIVO,9.67,13.9
14287,BABERO PLASTICO BL 2306 - 73,ROPA Y TEXTIL,2026-07-14,930720,30.0,847.0,1346730.0,4,ACTIVO,10.0,84.7
9417,TETERO SILICONA INFAN TEC BIP 1331,BIBERONES Y EXTRACTORES,2026-07-16,521600,5.0,124.0,1327916.0,2,ACTIVO,1.67,74.3
